Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,born_yyyy,generation
33,0,1,1392,1,3,4,1,5,4,0,56,3,1,6,3,1,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,1982,gen_y
27,0,2,591,1,2,1,3,7,1,1,40,3,1,2,2,1,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,1988,gen_y
32,0,1,1005,1,2,2,1,8,4,1,79,3,1,2,4,2,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,1983,gen_y
30,0,2,1358,1,24,1,1,11,4,1,67,3,1,2,3,0,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,1985,gen_y
35,0,2,809,1,16,3,3,14,1,1,84,4,1,2,2,1,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,1980,gen_y
29,0,2,153,1,15,2,1,15,4,0,49,2,2,2,3,2,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,1986,gen_y
31,0,2,670,1,26,1,1,16,1,1,31,3,1,6,3,0,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,1984,gen_y
34,0,2,1346,1,19,2,3,18,2,1,93,3,1,2,4,0,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,1981,gen_y
28,1,2,103,1,24,3,1,19,3,1,50,2,1,2,3,2,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,1987,gen_y
29,0,2,1389,1,21,4,1,20,2,0,51,4,3,4,1,0,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,1986,gen_y
32,0,2,334,1,5,2,1,21,1,1,80,4,1,6,2,0,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,1983,gen_y
22,0,0,1123,1,16,2,3,22,4,1,96,4,1,2,4,0,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,1993,gen_y
24,0,0,673,1,11,2,4,26,1,0,96,4,2,4,3,0,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,1991,gen_y
34,0,2,419,1,7,4,1,28,1,0,53,3,3,5,2,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,1981,gen_y
21,0,2,391,1,15,2,1,30,3,1,96,3,1,6,4,2,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,1994,gen_y
34,1,2,699,1,6,1,3,31,2,1,83,3,1,6,1,2,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,1981,gen_y
32,1,1,1125,1,16,1,1,33,2,0,72,1,1,6,1,2,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,1983,gen_y
33,0,2,924,1,2,3,3,39,3,1,78,3,1,2,4,2,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,1982,gen_y
30,0,2,125,1,9,2,3,41,4,1,83,2,1,2,3,2,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,1985,gen_y
24,1,2,813,1,1,3,3,45,2,1,61,3,1,6,4,1,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,1991,gen_y
35,0,2,890,2,2,3,2,49,4,0,97,3,1,8,4,1,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,1980,gen_y
33,0,1,1141,2,1,3,1,52,3,0,42,4,2,7,1,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,1982,gen_y
35,0,2,464,1,4,2,4,53,3,1,75,3,1,2,4,0,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,1980,gen_y
27,0,2,1240,1,2,4,1,54,4,0,33,3,1,2,1,0,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,1988,gen_y
26,1,2,1357,1,25,3,1,55,1,1,48,1,1,2,3,2,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,1989,gen_y
27,0,1,994,2,8,3,1,56,4,1,37,3,3,7,3,2,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,1988,gen_y
30,0,1,721,1,1,2,3,57,3,0,58,3,2,2,4,2,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,1985,gen_y
34,0,0,1065,2,23,4,2,60,2,1,72,3,2,7,3,2,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,1981,gen_y
35,0,2,1229,1,8,1,1,63,4,1,36,4,1,2,4,1,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,1980,gen_y
28,1,2,1434,1,5,4,5,65,3,1,50,3,1,2,3,2,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1987,gen_y
35,0,0,1097,1,11,2,3,70,3,1,79,2,3,0,1,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,1980,gen_y
26,0,2,1443,2,23,3,2,72,3,0,47,2,2,7,4,1,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,1989,gen_y
33,0,1,515,1,1,2,1,73,1,0,98,3,3,5,4,2,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,1982,gen_y
35,0,1,853,2,18,5,1,74,2,1,71,3,3,7,1,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,1980,gen_y
35,0,2,1142,1,23,4,3,75,3,0,30,3,1,2,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,1980,gen_y
31,0,2,655,1,7,4,1,76,4,1,48,3,2,2,4,0,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,1984,gen_y
32,0,2,427,1,1,3,3,78,1,1,33,3,2,4,4,1,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,1983,gen_y
35,0,1,664,1,1,3,3,88,2,1,79,3,1,6,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,1980,gen_y
29,0,2,1328,1,2,3,1,94,3,1,76,3,1,6,2,1,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,1986,gen_y
31,0,2,1082,1,1,4,3,95,3,1,87,3,1,6,2,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,1984,gen_y
32,0,2,548,1,1,3,1,96,2,1,66,3,2,6,2,1,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,1983,gen_y
31,0,2,746,1,8,4,1,98,3,0,61,3,2,4,4,2,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,1984,gen_y
35,0,2,776,2,1,4,2,100,3,1,32,2,2,7,1,2,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,1980,gen_y
30,0,2,852,1,1,1,1,104,4,1,55,2,2,2,4,1,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,1985,gen_y
35,0,2,1214,1,1,3,3,105,2,1,30,2,1,6,3,2,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,1980,gen_y
34,0,2,1153,1,1,2,3,110,1,1,94,3,2,4,2,1,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,1981,gen_y
23,0,2,541,2,2,1,5,113,3,1,62,3,1,8,1,0,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,1992,gen_y
30,0,2,288,1,2,3,1,117,3,1,99,2,2,0,4,1,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,1985,gen_y
30,0,2,1334,2,4,2,3,121,3,0,63,2,2,7,2,0,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,1985,gen_y
32,0,2,1093,2,6,4,3,125,2,1,87,3,2,7,3,2,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,1983,gen_y
24,0,2,1353,2,3,2,4,128,1,0,33,3,2,7,3,1,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,1991,gen_y
28,0,0,120,2,4,3,3,129,2,1,43,3,2,7,3,1,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,1987,gen_y
32,0,2,827,1,1,1,1,134,4,1,71,3,1,6,1,2,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,1983,gen_y
